,id,kanji,strokes,grade,kanji_classification,jlpt_test,name_of_radical,radical_freq,reading_with_joyo,reading_beyond_joyo,nb_of_on,on_within_joyo,kanji_id_nelson,nb_meanings_on,translation_of_on,nb_kun_within_joyo_inflections,nb_kun_within_joyo_no_inflections,kun_within_joyo,nb_meanings_kun,translation_of_kun,year_inclusion,kanji_frq_proper_nouns,acc_frq_on_with_proper_nouns,acc_frq_on_with_proper_nouns.1,on_ratio_with_proper_nouns,acc_frq_on_beyond_joyo_with_proper_nouns,acc_frq_kun_beyond_joyo_with_proper_nouns,acc_on_ratio_beyond_joyo_with_proper_nouns,kanji_frequency_without_proper_nouns,acc_frq_on_without_proper_nouns,acc_frq_kun_without_proper_nouns,on_ratio_without_proper_nouns,acc_frq_on_beyond_joyo_without_proper_nouns,acc_frq_kun_beyond_joyo_without_proper_nouns,on_ratio_beyond_joyo_without_proper_nouns,left_kanji_prod,right_kanji_prod,acc_frq_left_prod,acc_frq_right_prod,symmetry,left_entropy,right_entropy,left_1_sound,left_1_frq,left_2_sound,left_2_frq,left_3_sound,left_3_frq,left_4_sound,left_4_frq,left_5_sound,left_5_frq,left_6_sound,left_6_freq,right_1_sound,right_1_frq,right_2_sound,right_2_frq,right_3_sound,right_3_frq,right_4_sound,right_4_frq,right_5_sound,right_5_frq,right_6_sound,right_6_frq,right_7_sound,right_7_frq,bert_small_embeddings,tsne_2D_coordinates
415,416,鏡,19,4,形声 Phonetic,1,"Kane, Kanehen",33,キョウ、かがみ,,1,kyoo,6341,4,mirror; speculum; barrelhead; round rice-cake offering,1,1,kagami,4,mirror; speculum; barrelhead; round rice-cake offering,1981,9692,5007,2953,0.629,0,0,0.629,8958,4557,2678,0.63,0,0,0.63,6,4,1541,197,S,0.79645564,1.80001202,kyoo,107,kagami,90,,0,,0,,0,,0,kagami,106,kyoo,89,,0,,0,,0,,0,,0,"[-0.9999974  -0.00649085 -0.99561507  0.40715945 -0.9854497   0.23338121
 -0.94423074 -0.87266785  0.0466872  -0.04986763 -0.6325694  -0.15834296
  0.07723662  0.9999987  -0.45841977 -0.9817367  -0.12690149  0.21980128
 -0.98520154  0.77411795  0.83913654 -0.1886172   0.9309039   0.3930764
 -0.99899876 -0.06881174 -0.99998194 -0.10899781  0.9984413   0.06095844
 -0.03653377 -0.2624087  -0.9993498  -0.18836215  0.8127927   0.99999654
 -0.99050575  0.12109814  0.9902114  -0.9906895   0.9369577   0.9174175
 -0.98768014  0.7609394  -0.9999264  -0.07090473 -0.9933323   0.9992894
  0.825651    0.99733067  0.8308351  -0.42444682 -0.19169179  0.5740635
  0.9538291   0.9992768  -0.9873878  -0.7220768   0.68015146 -0.8617223
  0.02370964  0.8998425  -0.7432604   0.9631673  -0.83703315 -0.9999964
 -0.69083315  0.8083638   0.7711667   0.9837839   0.9992835   0.07983432
 -0.9903725  -0.15197165  0.85766965 -0.9839115  -0.92978615  0.03799658
 -0.75348866 -0.10013615  0.08122157  0.26583073 -0.989683   -0.99851006
  0.9997834  -0.97122157  0.07707411 -0.9657353  -0.36697465  0.8431329
 -0.9388189   0.97439647 -0.74968004  0.9560649   0.91820806  0.47406957
 -0.87917626  0.97727865 -0.99960464 -0.9961518  -0.9573882   0.98065734
 -0.9992631  -0.7780288  -0.96872884 -0.82138485 -0.99987745 -0.9885329
  0.7207994   0.68329054  0.99914044 -0.77311176 -0.9265042   0.99666834
 -0.9999958  -0.08889847 -0.48108128 -0.3351422   0.13768566 -0.9968378
  0.05385898 -0.99998635 -0.82638395  0.62996215 -0.99934757  0.9717726
  0.9126429   0.9147723 ]",[  7.651432 -18.81473 ]
416,417,競,20,4,会意 Com. Ideographic,2,Tatsu,5,キョウ、ケイ、きそ-う、せ-る,,2,"kyoo, 	kei",4244,2,"emulate, compete with",2,2,"kiso(u), se(ru)",6,"emulate, compete with; compete, vie, bid; sell at auction",1981,98697,86338,11967,0.878,0,0,0.878,96606,84699,11516,0.88,0,0,0.88,0,13,0,84158,R,0,2.381645379,kyoo,64,kei,19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"[-0.9999989   0.12975004 -0.99959415  0.6508031  -0.9995291   0.6780691
 -0.92717594 -0.6166313   0.03346185 -0.01982833 -0.69269264 -0.02881213
 -0.24374509  1.         -0.383912    0.01880274  0.91595954 -0.13847262
 -0.76854885  0.30233994  0.9850779   0.2921542   0.6201187   0.04612406
 -0.99969596 -0.00275076 -0.9993316   0.99427676  0.8160413   0.10210911
 -0.00319839  0.00516836 -0.89104176  0.47513157  0.08000094  0.99812
 -0.9925534  -0.1620221   0.46045    -0.9973575   0.90511596  0.98921824
 -0.99806297  0.9808935  -0.99998754 -0.28933546 -0.9951185   0.9976202
  0.95464385  0.99958795  0.81397116 -0.94251394  0.02244595  0.99016243
  0.96239054  0.99977034 -0.9958097  -0.9943208   0.41493514 -0.33634987
 -0.01128646  0.9555738   0.3891608   0.9769104  -0.7282195  -1.
 -0.8193193   0.6793564   0.5269961   0.98271424  0.9978106   0.19443281
 -0.9962619   0.07555711  0.962229   -0.9985372  -0.850609    0.21513864
 -0.99639016  0.20164958 -0.21621183 -0.10934424 -0.6843369  -0.99995655
  0.99987805 -0.91854143 -0.61109656 -0.7705059  -0.40931228  0.97666
 -0.97571504  0.93430245 -0.9527631   0.7604279   0.2938571   0.1207893
 -0.66171026 -0.53970414 -0.9999814  -0.8840016  -0.98919106  0.50365925
 -0.99988854 -0.6772665  -0.99165237 -0.56312305 -0.9983635  -0.9963045
  0.17264448  0.989402    0.99946856  0.85505295 -0.63758475  0.967832
 -0.9999996   0.07738107 -0.7977439  -0.04885915  0.16522057 -0.9995003
  0.3223718  -0.99999404 -0.9142035   0.69286555 -0.9999809   0.99008554
  0.9564791   0.8197766 ]",[-24.526388  13.696491]
417,418,響,20,7,形声 Phonetic,1,Oto,3,キョウ、ひび-く,,1,kyoo,6610,10,"sound, resound, reverberate, echo, ring, vibrate; grate on; affect, find an echo in; become known",1,1,hibi(ku),10,"sound, resound, reverberate, echo, ring, vibrate; grate on; affect, find an echo in; become known",1981,94066,80720,13144,0.86,0,0,0.86,93381,80442,12931,0.862,0,0,0.862,5,0,74206,0,P,0.332848724,0,,0,,0,,0,,0,,0,,0,kyoo,74,,0,,0,,0,,0,,0,,0,"[-0.99998605  0.07043163 -0.99978226  0.5976166  -0.99276656 -0.1476441
 -0.84800106 -0.6185265   0.00188326 -0.03661538 -0.953128   -0.18679564
 -0.13973305  1.         -0.07643103 -0.989657   -0.32500988  0.10173211
 -0.80308616  0.65510935  0.9116683   0.11483677  0.98259765  0.82867754
 -0.998977   -0.0455616  -0.9999958   0.18395072  0.95501316  0.02708787
  0.07070468 -0.11365549 -0.993506    0.19509554 -0.92604566  0.99996036
 -0.9357005  -0.12160935  0.93212557 -0.99483854  0.97557425  0.9237645
 -0.9921508   0.8929325  -0.9999971  -0.23957607 -0.99904007  0.9956559
  0.8301196   0.998727    0.99254185  0.4753598  -0.08905799  0.7807324
  0.94471747  0.99997866 -0.999531   -0.9325474   0.5009405  -0.9774687
 -0.16391689  0.58103347 -0.90119416  0.9850996  -0.66417694 -1.
 -0.7148586   0.6697012   0.8647855   0.9865289   0.99982613  0.11679397
 -0.9987922   0.10279245  0.72216403 -0.9975828  -0.1942427   0.13486357
 -0.82983184  0.1382984   0.7296413  -0.05656844 -0.8977792  -0.99991715
  0.9999766  -0.98120874  0.8075587  -0.48694563  0.01116731  0.98923105
 -0.99887514  0.7245093  -0.32954198  0.94359136  0.30388942 -0.28468218
 -0.87963605  0.7860018  -0.9998135  -0.9775796  -0.99210244  0.975621
 -0.9999075  -0.63983667 -0.98572195  0.05984263 -0.9985578  -0.9995091
  0.37208432  0.35852933  0.99983394 -0.2642264  -0.972741    0.9980736
 -1.          0.06159442 -0.30561024 -0.5715036   0.2019331  -0.9520464
  0.10207407 -0.9999952  -0.23517056  0.9368394  -0.9996065   0.5427301
  0.9846683   0.75348294]",[ -1.5982218 -27.081665 ]
418,419,驚,22,7,形声 Phonetic,1,"Uma, Umahen",11,キョウ、おどろ-く、おどろ-かす,,1,kyoo,6774,5,"be surprised; be frightened, be taken aback; be appalled; be amazed",2,1,"odoro(ku), odoro(kasu)",8,"be surprised; be frightened, be taken aback; be appalled; be amazed; surprise; frighten; create a stir",1981,20764,1795,18964,0.086,0,0,0.086,20712,1795,18912,0.087,0,0,0.087,3,5,15,1654,S,1.158938532,1.039799922,kyoo,1,,0,,0,,0,,0,,0,kyoo,11,,0,,0,,0,,0,,0,,0,"[-0.9999311   0.07920823 -0.9998946  -0.5569104  -0.99541295 -0.7797844
 -0.9888401   0.52619654  0.13597566 -0.10301933 -0.7762907  -0.23998784
 -0.17664088  1.         -0.6997422  -0.9685143  -0.0092652   0.03647038
 -0.95190436  0.9911992   0.936322    0.16725731  0.99803096  0.88986325
 -0.99943614 -0.04837938 -0.9999954  -0.37781513  0.99775     0.0822955
 -0.0036099   0.06213149 -0.9865931   0.1546146   0.23962875  0.99993825
 -0.5779947  -0.10248695  0.9973822  -0.997982    0.9750148   0.98832494
 -0.9969663   0.9064359  -0.99999285 -0.17889681 -0.99786294  0.9957649
  0.92607886  0.9749485   0.95805985  0.3830763  -0.14540054  0.88706326
  0.99326247  0.99991274 -0.9958147  -0.7911962   0.5251129  -0.9957234
  0.00542313  0.48104942 -0.9947165   0.97367525 -0.44840512 -0.99999964
 -0.41867855  0.9495348   0.7461884   0.98896956  0.9998594   0.02016724
 -0.99948025  0.05834646  0.86506784 -0.9896783  -0.19346051  0.13502628
  0.677016    0.20559095  0.7551008  -0.15763524 -0.9972444  -0.99934995
  0.9999721  -0.9883083   0.96102124  0.7510582   0.5647222   0.98172414
 -0.9952513   0.943095    0.09801684  0.9827025  -0.5833382  -0.09683511
 -0.9799338   0.7077737  -0.99977094 -0.99718636 -0.95440286  0.9680937
 -0.9997944  -0.49069697 -0.9693242   0.77459764 -0.9996819  -0.9988652
  0.64549524  0.8598972   0.9999086   0.5242035  -0.9874646   0.9995605
 -1.          0.03411344 -0.0493936  -0.38875687  0.22305727 -0.72096777
  0.20630568 -0.99999535  0.16702928  0.9526348  -0.9994827   0.93839836
  0.99174553  0.98564714]",[ -9.298755 -19.933865]
419,420,仰,6,7,形声 Phonetic,1,"Hito, Ninben, Hitoyane",104,ギョウ、[コウ]、あお-ぐ、おお-せ,,2,"gyoo, [koo]",137,9,"look up; look up to; ask for, depend on; seek; respect, revere; drink, take",2,2,"ao(gu), oo(se)",12,"look up; look up to; ask for, depend on; seek; respect, revere; drink, take; statement, command, wishes (of a superior)",1981,6430,3826,1990,0.658,0,0,0.658,5769,3826,1990,0.658,0,0,0.658,5,5,3291,422,S,0.892342874,0.451328325,gyoo,422,,0,,0,,0,,0,,0,koo,2,gyoo,906,goo,9,,0,,0,,0,,0,"[-9.99986708e-01  5.76773137e-02 -9.99858797e-01  1.71146110e-01
 -9.96039212e-01 -6.04566932e-01 -9.89268303e-01 -2.95627534e-01
  1.04848951e-01 -1.64897308e-01 -8.70689094e-01 -2.94323742e-01
 -5.98408319e-02  1.00000000e+00 -6.25090122e-01 -8.90713036e-01
  3.35583568e-01  1.05106398e-01 -9.43287075e-01  9.94268417e-01
  9.14998233e-01  7.56444857e-02  9.94593143e-01  8.96993577e-01
 -9.99735773e-01 -1.11377440e-01 -9.99998510e-01  2.64999568e-01
  9.97159600e-01  5.72952144e-02 -1.68424919e-01 -1.05104618e-01
 -9.93995309e-01  3.28151733e-01  7.86386967e-01  9.99986410e-01
 -9.15365458e-01 -3.46255279e-03  9.97655571e-01 -9.97189820e-01
  4.47277695e-01  9.88272727e-01 -9.96410072e-01  9.68424559e-01
 -9.99998033e-01 -5.53222895e-02 -9.99700129e-01  9.98756886e-01
  7.86673725e-01  9.94698167e-01  8.93614471e-01 -7.86155760e-01
 -2.55239397e-01  9.18669879e-01  9.89462078e-01  9.99968946e-01
 -9.98563707e-01 -9.14907873e-01  2.64233910e-02 -9.85771358e-01
 -1.33098260e-01  8.99533987e-01 -9.62876797e-01  9.69335020e-01
 -6.09885633e-01 -1.00000000e+00 -4.00567710e-01  9.25909519e-01
  8.98770213e-01  9.89603162e-01  9.99766886e-01  1.75310984e-01
 -9.99172151e-01 -1.12861969e-01  8.64524484e-01 -9.74511862e-01
 -2.06542343e-01  1.79081455e-01 -9.17511046e-01  3.06418408e-02
  7.15748906e-01  6.00983724e-02 -9.74095941e-01 -9.95198250e-01
  9.99876916e-01 -9.78423238e-01  5.78011513e-01  2.09938779e-01
  4.73639183e-02  9.90401268e-01 -9.97290552e-01  9.33804750e-01
  5.39670229e-01  9.82387960e-01 -6.53881463e-04 -4.80918676e-01
 -9.64009345e-01  7.45825052e-01 -9.99924600e-01 -9.97546196e-01
 -9.92875636e-01  9.85472858e-01 -9.99838412e-01 -4.85135585e-01
 -9.37476337e-01 -4.43866372e-01 -9.99899685e-01 -9.99201655e-01
  2.04989180e-01  9.73699749e-01  9.99883711e-01  3.25607695e-02
 -9.78656828e-01  9.99441445e-01 -1.00000000e+00 -1.13462694e-01
  4.02297348e-01 -6.88266814e-01  1.45499453e-01 -9.12724495e-01
  1.03077009e-01 -9.99995232e-01  2.67424971e-01  9.34353113e-01
 -9.99860525e-01  7.14681327e-01  9.97383595e-01  9.12227035e-01]",[-12.956561 -31.111626]
420,421,暁,12,7,形声 Phonetic,1,"Nichi, Nichihen",38,ギョウ、あかつき,キョウ,1,gyoo,2485,3,"dawn, daybrake; in the event (of)",1,1,akatsuki,3,"dawn, daybrake; in the event (of)",1981,3889,479,1140,0.296,7,0,0.299,1626,476,1117,0.299,0,0,0.299,6,4,317,149,S,0.737803996,0.620635062,gyoo,148,akatuki,1,,0,,0,,0,,0,gyoo,317,,0,,0,,0,,0,,0,,0,"[-0.99999493  0.04612728 -0.9997223   0.8867177  -0.997392   -0.06820741
 -0.9909372  -0.5542433   0.0584362  -0.0189161  -0.74375653 -0.12773266
 -0.12583905  1.         -0.8692008  -0.5460723   0.3821731   0.07133593
 -0.88490003  0.8678951   0.984392    0.02253676  0.8902859   0.42578098
 -0.9990061   0.05199559 -0.9997561  -0.0977679   0.91985935  0.07319941
  0.08773539 -0.17077817 -0.912893    0.4079447  -0.7260101   0.9999115
 -0.9852766   0.00548317  0.99072415 -0.9996763   0.97140735  0.9470448
 -0.9987947   0.9565194  -0.99999946 -0.148943   -0.9995716   0.9992884
  0.75698286  0.99836427  0.95266443  0.07495184 -0.10273845  0.94485563
  0.9978798   0.9999908  -0.9996933  -0.69182277  0.24398296 -0.9937215
  0.0152435   0.92321384 -0.80639374  0.9620942  -0.7757189  -1.
 -0.8643833  -0.19199818  0.3598232   0.7724481   0.99382097  0.04230094
 -0.9995666   0.03787686  0.91185683 -0.99262875 -0.7678894   0.07542494
 -0.6894905   0.1213697  -0.3714432  -0.00635078 -0.99403936 -0.99168885
  0.99998355 -0.9938718   0.82683754 -0.8136131  -0.95634925  0.90726537
 -0.9984224   0.9199274  -0.30303615  0.9743528   0.4778967   0.6540075
 -0.8150125   0.3324451  -0.99992496 -0.9868633  -0.99253386  0.8590086
 -0.9999001  -0.67910683 -0.9918787   0.71667033 -0.99922407 -0.99260134
  0.3200882   0.9879871   0.99951005  0.66435045 -0.8772904   0.99460423
 -1.         -0.01342956 -0.44837937 -0.86619204  0.09095424 -0.9978469
  0.13525765 -0.99999905 -0.47060075  0.80842644 -0.9999862   0.938743
  0.9609887   0.9771476 ]",[10.352784 -6.577701]
421,422,業,13,3,象形 Pictographic,4,"Ki, Kihen",85,ギョウ、ゴウ、わざ,,2,"gyoo, 	goo",2789,13,"vocation, occupation, business, trade, profession; industry; undertaking; studies; arts; conduct, act; service; achievement",1,1,waza,6,"deed, act, work, art, trick, performance",1981,606730,596699,2328,0.996,0,0,0.996,582234,579048,2328,0.996,0,0,0.996,87,14,448051,100360,P,3.777340065,2.24840778,gyoo,100,waza,38,goo,24,,0,,0,,0,gyoo,447,waza,662,goo,125,,0,,0,,0,,0,"[-9.9959201e-01  6.6181563e-02 -9.9228972e-01  6.6021788e-01
 -8.7895077e-01  5.7223523e-01 -9.5517772e-01 -3.2280391e-01
 -2.3229891e-02  1.1986361e-01 -5.2622056e-01 -4.0059660e-02
 -1.1458705e-01  9.9997258e-01  2.9764983e-01 -3.3001435e-01
 -7.9413027e-01  8.8785909e-02 -9.3422401e-01 -3.7022024e-02
  6.7022544e-01 -9.4904207e-02  6.9720112e-02 -1.8340245e-02
 -9.8606747e-01  6.0269894e-04 -9.9980813e-01 -5.6020439e-01
  9.7806036e-01  1.1618509e-01  1.6853561e-01 -1.0379325e-01
 -9.9169010e-01 -3.7210733e-01  2.0362093e-01  9.9998176e-01
 -9.8540437e-01  2.7454119e-02  9.9768120e-01 -9.8476982e-01
 -6.7891783e-01  9.4531566e-01 -9.6161979e-01  3.1607935e-01
 -9.9963868e-01 -7.6439328e-02 -9.8802066e-01  9.9183923e-01
 -4.7567064e-01  9.9682951e-01  5.5738914e-01 -3.4130383e-02
  6.9659822e-02 -6.3131735e-02  8.6187279e-01  9.9865431e-01
 -9.8411822e-01 -2.0671895e-02  1.7888086e-01 -8.6548585e-01
 -6.9641463e-02  6.7221957e-01 -8.8636386e-01  8.8354260e-01
 -9.1543967e-01 -9.9997193e-01  3.0765146e-01  7.9906654e-01
  6.1628407e-01  9.8345387e-01  9.9702168e-01 -9.1911912e-02
 -9.9469495e-01  9.9610031e-02  8.9014524e-01 -9.9585164e-01
 -9.5395166e-01  6.0265645e-02 -1.5501818e-02  1.9738475e-02
  3.4022829e-01  9.8521717e-02 -8.9138973e-01 -8.4046870e-01
  9.9962068e-01 -5.5268764e-01 -8.3936167e-01 -9.8829460e-01
 -9.7226614e-01  9.2187107e-01 -9.7369277e-01  9.6789080e-01
  7.3434955e-01  6.7905575e-01  7.2308695e-01  5.6670517e-01
 -7.4231982e-01  9.6687239e-01 -9.9901396e-01 -9.9438411e-01
 -8.3268607e-01  9.8738801e-01 -9.9931890e-01 -8.3243245e-01
 -8.4900773e-01 -7.2947675e-01 -9.9943364e-01 -9.8789322e-01
 -4.0522054e-01  9.4674295e-01  9.9436522e-01 -8.6945933e-01
 -8.5394585e-01  9.8872358e-01 -9.9994159e-01  6.6309787e-02
 -7.9296583e-01 -9.6880960e-01  4.6584345e-02 -9.9607712e-01
  1.1052154e-01 -9.9983639e-01 -6.8092245e-01  7.5714189e-01
 -9.9895388e-01  7.3964787e-01  9.7675115e-01  9.3028504e-01]",[ 27.711277 -13.501998]
422,423,凝,16,7,形声 Phonetic,1,Nisui,6,ギョウ、こ-る、こ-らす,,1,gyoo,431,2,"freeze, congeal",2,1,"ko(ru), ko(rasu)",11,"feel stiff, get stiff; be absorbed in, be devoted to, be a fanatic; elaborate; concentrate, devote, apply, strain, rack",1981,3717,1619,1994,0.448,0,0,0.448,3717,1619,1994,0.448,0,0,0.448,0,8,0,1584,R,0,1.586804256,gyoo,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"[-9.9999905e-01 -5.1912975e-02 -9.9967653e-01  4.2033705e-01
 -9.9867153e-01 -2.2087051e-02 -7.2662044e-01 -7.5023836e-01
  9.1443561e-02 -2.2444621e-02 -5.8845347e-01 -9.4554402e-02
 -5.3996991e-02  1.0000000e+00 -7.2508115e-01 -9.1134202e-01
  6.2695307e-01  8.7074392e-02 -9.3880630e-01  5.2332962e-01
  9.0786773e-01  3.6752582e-02  8.9110863e-01  3.0285004e-01
 -9.9967706e-01 -1.0268709e-01 -9.9997884e-01  6.6129559e-01
  9.8944718e-01  9.2316180e-02  2.2741923e-02 -5.7961755e-02
 -9.5859557e-01 -3.2446855e-01  5.1298743e-01  9.9995804e-01
 -9.8094028e-01  4.0951921e-04  9.8745590e-01 -9.9874723e-01
  9.7616440e-01  9.8235017e-01 -9.9862766e-01  9.8292243e-01
 -9.9997771e-01 -2.0068909e-01 -9.9677557e-01  9.9909306e-01
  9.8029077e-01  9.9893028e-01  8.0474496e-01 -3.5731742e-01
 -2.9603237e-02  8.3416283e-01  8.8825631e-01  9.9944443e-01
 -9.8354548e-01 -9.8724759e-01  9.2306155e-01 -6.2125677e-01
 -1.4818942e-02  7.2924942e-01 -9.2027301e-01  9.8608392e-01
 -9.4800371e-01 -1.0000000e+00 -6.1383075e-01  6.9890040e-01
  8.4354335e-01  9.8082769e-01  9.9975407e-01  1.2504475e-01
 -9.9168169e-01  1.2798319e-02  9.6908081e-01 -9.9743813e-01
 -8.9458698e-01  1.3686514e-01 -9.3490785e-01  2.2934103e-02
  1.9122420e-01 -8.3385013e-02 -9.2455506e-01 -9.9984568e-01
  9.9996185e-01 -9.9352008e-01 -3.4855187e-01 -8.1203216e-01
 -3.0055007e-01  5.6736219e-01 -8.7870276e-01  9.8553860e-01
 -8.9811981e-01  9.0141344e-01  2.5320211e-01  2.8595805e-01
 -7.7880597e-01  8.8651007e-01 -9.9995780e-01 -8.1454939e-01
 -9.7462565e-01  7.0439255e-01 -9.9987578e-01 -9.0073061e-01
 -9.9753886e-01 -7.4370813e-01 -9.9946630e-01 -9.9691194e-01
  6.9124371e-01  9.3331420e-01  9.9966639e-01  5.9434205e-01
 -9.3974715e-01  9.9933666e-01 -9.9999970e-01 -4.4328433e-02
 -5.0928593e-01  3.2314909e-01  1.8528794e-01 -9.9924690e-01
  1.0025128e-01 -9.9999601e-01 -6.8742788e-01  7.9515070e-01
 -9.9992961e-01  9.9178034e-01  8.5537004e-01  9.8459440e-01]",[-19.108797  10.535177]
423,424,曲,6,3,象形 Pictographic,3,Hirabi,8,キョク、ま-がる、ま-げる,くせ,1,kyoku,2418,5,"music, tone, melody, composition; fault",2,1,"ma(garu), ma(geru)",13,"bend, curve, swerve; be crooked; turn; be awry; be perverse; lean; decline; bow; distort; depart from (principles); pawn",1981,44726,32169,4742,0.872,0,42,0.871,43583,32109,4272,0.883,0,42,0.882,30,17,14832,2587,S,3.182904907,2.713426107,kyoku,2,kyoQ,91,kuse,17,,0,,0,,0,kyoku,14,gyoku,68,,0,,0,,0,,0,,0,"[-9.99941707e-01 -3.68847046e-04 -9.91334498e-01  8.45888078e-01
 -9.93017077e-01  5.80086470e-01 -9.94257450e-01 -3.18052322e-01
  9.62486118e-02  2.76691765e-02 -8.61625493e-01 -7.74041191e-02
 -6.72549754e-02  1.00000000e+00 -9.46455836e-01 -9.53577816e-01
  2.72033006e-01  1.12860285e-01 -9.96074915e-01  2.63874680e-01
  8.29779685e-01 -5.58153279e-02  9.47634339e-01  1.10762879e-01
 -9.98085260e-01 -3.91474962e-02 -9.99978662e-01 -1.54066280e-01
  9.97520149e-01  8.27488378e-02  8.80692676e-02 -1.02395378e-01
 -9.98170018e-01 -2.31337056e-01 -9.93606865e-01  9.99988139e-01
 -8.83657992e-01  1.51342582e-02  7.17383027e-01 -9.95862603e-01
  9.03346896e-01  9.93474543e-01 -9.91786182e-01  6.46203041e-01
 -9.99995530e-01 -1.05876423e-01 -9.98615623e-01  9.99387622e-01
  6.19800866e-01  9.98999834e-01  9.71112669e-01 -3.78645211e-01
 -3.27668451e-02 -3.76947522e-01  9.79892433e-01  9.99964714e-01
 -9.99495149e-01  7.30958223e-01  1.05716333e-01 -3.13793629e-01
  7.01418100e-03  3.18961561e-01 -4.42912579e-01  9.26152229e-01
 -9.39920664e-01 -9.99997497e-01 -2.90387630e-01 -7.04047501e-01
  9.78131413e-01  9.91975963e-01  9.99556541e-01  6.20386861e-02
 -9.98790741e-01  8.10526907e-02  9.41095650e-01 -9.93359745e-01
 -9.76205111e-01  1.26892671e-01 -8.44383061e-01  3.46978568e-02
  2.65408933e-01  7.02631474e-02 -9.64165926e-01 -9.99331534e-01
  9.98568356e-01 -7.97173560e-01  2.80496269e-01 -9.47740078e-01
 -1.83968186e-01  8.32496047e-01 -9.86743927e-01  8.12372088e-01
 -7.12523222e-01  9.50708449e-01  9.75453794e-01  7.88805485e-01
 -2.61795998e-01  8.87541831e-01 -9.98381317e-01 -9.95109975e-01
 -8.86645377e-01  9.91230428e-01 -9.98409033e-01 -9.26234365e-01
 -9.46985185e-01 -2.47240975e-01 -9.99142826e-01 -9.80572701e-01
  4.39406663e-01  7.97839701e-01  9.89941478e-01 -4.84792501e-01
 -2.84199059e-01  9.98479545e-01 -9.99999642e-01 -8.26015417e-03
 -6.49476767e-01 -6.21156633e-01  1.23207524e-01 -9.91693258e-01
  2.03979701e-01 -9.99968290e-01 -9.45172966e-01  9.46533561e-01
 -9.99392092e-01  8.65089953e-01  9.64860857e-01  9.75637197e-01]",[ 41.4034   -13.129934]
425,426,極,12,4,形声 Phonetic,2,"Ki, Kihen",85,キョク、ゴク、きわ-める、きわ-まる、きわ-み,,2,"kyoku, 	goku",2753,4,end; highest rank; the poles; (electric) poles,3,1,"kiwa(meru), kiwa(maru), kiwa(mi)",9,"terminate; reach an extreme; be in a dilemma; investigate thoroughly, master; carry to extremes; height, acme, extremity",1981,71754,27274,20577,0.57,0,0,0.57,64721,21493,20577,0.511,0,0,0.511,16,37,28664,10221,R,1.224704525,3.861913807,kyoku,6,goku,2,kyoQ,631,goQ,137,,0,,0,kyoku,28,goku,47,,0,,0,,0,,0,,0,"[-0.9999944  -0.00190604 -0.9993639  -0.06109698 -0.97727084 -0.08905944
 -0.95537347 -0.320184    0.03935537 -0.11626063 -0.83347887 -0.27955016
  0.10416424  1.         -0.7735192  -0.40988794  0.16713779  0.23762916
 -0.96280694  0.47164115  0.9261099  -0.09616132  0.3815154   0.38771105
 -0.98541874 -0.03162852 -0.9999856  -0.9303773   0.997159   -0.00299736
 -0.07954624 -0.09608024 -0.9962485   0.76753026 -0.8806216   0.9999515
 -0.9903262   0.14788827  0.9939424  -0.993648    0.92869145  0.9857823
 -0.99604905  0.8024269  -0.9999988  -0.02134261 -0.99790555  0.99876976
  0.7636763   0.9975066   0.8895828   0.7339778  -0.20903502  0.9213219
  0.97677773  0.99998385 -0.99946946 -0.8968801  -0.63824093 -0.9366703
 -0.09798568  0.9681554  -0.9520935   0.9210717  -0.7394594  -1.
 -0.81074023  0.6002902   0.5499768   0.9866998   0.9992023   0.05245475
 -0.9993555  -0.08527266  0.93287736 -0.93540996 -0.73400056 -0.01931375
 -0.5269254   0.00566449  0.1519367   0.10824278 -0.986293   -0.9848268
  0.9999627  -0.98827374 -0.6724208  -0.8202687  -0.25880092  0.9885921
 -0.9988313   0.8680192   0.42821798  0.7597843   0.7937128   0.3795288
 -0.7089102   0.9008654  -0.99996614 -0.99482703 -0.90338546  0.9947038
 -0.99995285 -0.32312626 -0.9782672  -0.018607   -0.99965227 -0.9977246
 -0.12056254  0.40338027  0.9992926  -0.08953857 -0.9443205   0.9944695
 -1.         -0.07060974 -0.6164466  -0.91983944  0.13693303 -0.9967416
  0.07973821 -0.9999973  -0.5001692   0.7249406  -0.99997145  0.9832052
  0.8834186   0.64165133]",[ 22.741966 -14.473072]
